City,District,Area_m2,Rooms,Year_Built,Floor,Condition,Interest_Rate,Inflation,Market_Trend,Energy_Efficiency,Green_Access,Carbon_Footprint,Price_per_m2,Total_Price
Wrocław,Krzyki,109.48520659036848,4,2021,9,Nowe,4.8287077458665575,7.598320110710235,Spadkowy,B,7,Wysoki,10318.517208064814,1129724.9882312482
Kraków,Śródmieście,85.11972636296008,3,1993,14,Po remoncie,7.474808708423109,5.710654074158267,Spadkowy,D,7,Średni,11974.188016883963,1019239.6074157986
Gdańsk,Śródmieście,142.10466984723712,5,1959,6,Do remontu,3.5904402246062745,1.6894892903498624,Stabilny,C,4,Średni,12550.333441390561,1783460.9901615449
Gdańsk,Oliwa,141.1410064432076,2,1957,8,Nowe,4.754513210954099,6.776326348465431,Spadkowy,B,5,Wysoki,11843.908884005747,1671661.2201102187
Kraków,Nowa Huta,62.08780386467829,2,2002,14,Nowe,7.431577244089871,2.8820730270179267,Spadkowy,D,8,Średni,12520.667482869154,777380.7469312353
Warszawa,Śródmieście,34.395377039513065,5,1966,7,Nowe,7.008521446743539,2.569785587725099,Spadkowy,C,1,Średni,16247.844730706804,558850.7455921262
Wrocław,Fabryczna,49.22383668841664,5,1966,14,Do remontu,5.199585197273361,5.330027742718814,Wzrostowy,A,1,Wysoki,11468.160448089355,564506.8570133094
Kraków,Śródmieście,45.562688492380616,5,1970,4,Nowe,6.73268130031611,4.806818665498923,Stabilny,A,7,Niski,12551.936338752546,571899.9653787747
Wrocław,Psie Pole,139.16943799468393,5,1982,10,Po remoncie,7.5770320704848135,8.540854980918617,Stabilny,A,2,Wysoki,10922.981706317345,1520145.2252943986
Gdańsk,Oliwa,80.021312578259,5,1977,13,Po remoncie,6.006264094914497,2.1153835359940127,Wzrostowy,A,9,Wysoki,10883.96218677825,870948.9402381337
Warszawa,Mokotów,137.34254264855264,1,1974,9,Po remoncie,5.076312072883656,6.664319723374715,Stabilny,A,3,Niski,15887.334569587923,2182006.9256954542
Poznań,Wilda,61.14317405854262,3,1970,2,Po remoncie,2.478427386430173,7.503811386929405,Stabilny,A,7,Wysoki,9786.303476186402,598365.6568341858
Poznań,Stare Miasto,97.26654502222151,2,1967,5,Do remontu,3.974084781893935,3.4774063132150195,Wzrostowy,C,3,Wysoki,9374.500689024284,911825.293329827
Gdańsk,Przymorze,61.19370820949335,5,1979,0,Do remontu,6.602789175188902,4.741894632216084,Spadkowy,A,4,Niski,10403.85075229238,636650.2071908978
Gdańsk,Śródmieście,78.51172227783522,5,2004,13,Po remoncie,5.184149134783686,9.104622119917904,Spadkowy,A,7,Niski,9128.006130536382,716655.4822710496
Poznań,Stare Miasto,120.77160723015008,4,2003,8,Nowe,5.906410729371528,7.2394983587997945,Wzrostowy,B,1,Niski,9879.335016056148,1193143.1682542015
Gdańsk,Oliwa,119.26177100805465,1,2023,4,Nowe,4.816058863925081,5.663910393447418,Stabilny,D,1,Wysoki,8848.351644032135,1055270.0875693043
Wrocław,Psie Pole,78.3019071447377,2,2009,14,Nowe,3.2533771828461253,9.962453291539076,Wzrostowy,C,8,Średni,11686.733485506997,915093.5202074656
Gdańsk,Wrzeszcz,127.52646486262209,2,1994,6,Nowe,7.04154387832828,8.784757221789555,Spadkowy,C,3,Wysoki,9668.835720438412,1233032.4387649545
Poznań,Grunwald,91.57661082641184,2,1996,10,Nowe,2.8472260051037357,8.520754154500574,Wzrostowy,C,3,Średni,10284.140734074703,941786.7536884084
Wrocław,Psie Pole,126.58321065803176,4,1986,14,Po remoncie,4.222316251751443,6.085039693269771,Stabilny,D,8,Wysoki,9547.99936972101,1208616.415580149
Warszawa,Śródmieście,38.082860772538716,2,1996,10,Nowe,4.620140225722131,4.297869223851469,Stabilny,A,1,Średni,17065.50528062875,649903.2616152089
Warszawa,Bielany,143.32327083736095,2,1957,3,Po remoncie,6.082956281111442,4.840942262812899,Spadkowy,C,8,Niski,16957.236786204492,2430366.640562447
Warszawa,Śródmieście,145.08291826760305,1,2008,9,Nowe,7.936680664558603,7.917573243864644,Spadkowy,C,5,Wysoki,12529.130845445827,1817762.8664139211
Poznań,Jeżyce,107.88931081787042,5,1994,14,Nowe,7.122816407633514,7.215591568065848,Wzrostowy,A,8,Średni,8850.648279435009,954890.3431596138
Gdańsk,Wrzeszcz,45.15783502861767,1,1958,7,Nowe,7.417198185838562,6.251959261325715,Wzrostowy,A,5,Wysoki,11591.956802548095,523467.67294832924
Kraków,Nowa Huta,135.60825499171398,2,2006,14,Po remoncie,3.9204167389205407,8.258200450394765,Stabilny,C,3,Wysoki,11795.948053492531,1599627.9315070272
Poznań,Jeżyce,110.01844361217479,3,1999,8,Po remoncie,5.839230330274175,9.746568229987998,Stabilny,B,7,Niski,10897.638153486609,1198941.188695251
Poznań,Jeżyce,73.44327042292487,4,1989,3,Do remontu,6.493737084637662,3.8668901657714483,Wzrostowy,D,5,Niski,9752.926302812171,716286.8038722911
Gdańsk,Przymorze,56.28236656404785,2,2008,2,Po remoncie,3.511601173222675,8.440064843532724,Wzrostowy,D,4,Wysoki,12495.72907423257,703289.2042409878
Warszawa,Mokotów,63.39243689437645,5,2023,4,Nowe,2.8795771254697944,3.206491446959,Spadkowy,B,4,Wysoki,16983.428072728297,1076620.89235061
Warszawa,Mokotów,139.18062479193935,5,1974,7,Nowe,7.012512005395268,5.942894061428244,Spadkowy,C,7,Wysoki,12920.696813707902,1798310.6552790857
Gdańsk,Śródmieście,94.4853546893847,4,1992,9,Do remontu,7.473080160352859,9.236531127385229,Wzrostowy,B,9,Średni,10317.282062053357,974832.0550635378
Warszawa,Śródmieście,38.790294293603495,5,1990,11,Nowe,5.707486109709668,5.779965569385268,Wzrostowy,B,9,Średni,15977.47582811063,619770.9894413475
Warszawa,Mokotów,63.1962253927319,4,2023,8,Do remontu,4.050369434532743,5.800294727128375,Stabilny,C,7,Średni,15783.310737290203,997445.6627973171
Wrocław,Krzyki,74.31203575705433,5,1999,10,Po remoncie,4.740043925867171,8.363742855926262,Wzrostowy,B,6,Niski,10819.938330792293,804051.6441269596
Wrocław,Fabryczna,143.26917231345345,1,1988,2,Do remontu,4.236135596948375,4.035454074998881,Spadkowy,D,5,Wysoki,10853.716524647203,1555002.9830110574
Wrocław,Krzyki,131.49538123441062,2,2023,2,Do remontu,6.7602554246718185,8.308086764620334,Spadkowy,B,8,Niski,8898.386633729686,1170096.7427734688
Kraków,Śródmieście,63.156225991214676,5,2014,2,Nowe,3.153574603840039,7.6357141332405245,Wzrostowy,A,4,Wysoki,12973.148530516626,819335.1004109026
Poznań,Jeżyce,122.47479734135011,2,1963,10,Po remoncie,5.682872120412713,9.826885437363043,Spadkowy,D,9,Średni,9651.656591931713,1182084.6851051424
Wrocław,Krzyki,78.75592165403621,4,2004,9,Po remoncie,4.186961181619815,6.962827250321857,Spadkowy,A,4,Niski,11244.38896133127,885562.2160861151
Warszawa,Śródmieście,94.01483983078629,1,2013,2,Nowe,3.4306668992660176,5.627749028579738,Stabilny,D,4,Średni,14901.952650656178,1401004.6916174018
Poznań,Grunwald,140.82725081358763,4,2018,0,Po remoncie,5.9215335250258825,5.622441896563328,Spadkowy,C,7,Niski,9018.607418058535,1270065.6888522112
Wrocław,Stare Miasto,110.39869629449127,1,1987,1,Po remoncie,2.596845463578349,2.028318269414807,Stabilny,B,4,Niski,9454.791102293102,1043796.6114299146
Kraków,Śródmieście,57.867214934742805,3,1950,8,Nowe,2.081421122302245,5.852606345385637,Spadkowy,D,5,Średni,10106.305231719325,584823.7370400178
Wrocław,Stare Miasto,130.925420848349,4,1998,12,Nowe,2.5222598201533017,8.551881251855676,Spadkowy,B,8,Niski,11734.456483144095,1536338.653482278
Poznań,Grunwald,40.438015337987075,5,2005,14,Po remoncie,4.902535679021391,2.234572981124331,Wzrostowy,C,1,Średni,8272.340547946951,334517.0339589312
Gdańsk,Oliwa,147.35880976726423,1,1999,11,Do remontu,7.8981101772405395,2.6321156463012665,Spadkowy,A,3,Średni,8429.62484041673,1242179.483268374
Wrocław,Psie Pole,145.30357513537365,5,1958,0,Po remoncie,5.171552679258839,7.320266732261561,Spadkowy,A,7,Wysoki,12750.363445871886,1852673.3929605673
Kraków,Śródmieście,65.51924378750061,1,1958,4,Po remoncie,4.339188915397816,2.2617123684269784,Spadkowy,D,8,Niski,13322.522404325671,872881.5932734525
Kraków,Śródmieście,138.34775134468333,1,1979,1,Nowe,2.9261335973453226,3.705096566908693,Stabilny,C,3,Średni,10842.80715862868,1500077.9886603132
Gdańsk,Śródmieście,131.89035264803076,5,1971,4,Nowe,7.2955821886031575,7.967232079069268,Stabilny,D,7,Niski,12485.536406489979,1646721.79965179
Poznań,Grunwald,69.2219774712371,2,1950,9,Po remoncie,3.3452968964179037,4.602493287817454,Spadkowy,C,6,Niski,8320.477020047832,575959.872831697
Gdańsk,Śródmieście,149.19912316765698,5,2023,5,Nowe,5.219669409001002,7.277024985627553,Stabilny,C,8,Średni,10429.06536148424,1556007.4073916322
Poznań,Grunwald,123.06888336591099,3,1960,12,Po remoncie,4.365443227990884,6.219148072478581,Stabilny,C,2,Średni,10881.43211561257,1339165.6998904014
Warszawa,Mokotów,117.38776787062466,2,1998,7,Nowe,6.4227777747098305,6.8218207207856425,Wzrostowy,D,9,Wysoki,14000.952304241524,1643540.5390579915
Poznań,Wilda,49.79460089507988,1,1997,0,Po remoncie,2.121197842579706,8.656980793681651,Wzrostowy,B,8,Wysoki,9771.350932199664,486560.51987464906
Poznań,Wilda,121.98118944214492,1,1996,2,Nowe,6.09816308743946,2.2656469415162834,Wzrostowy,C,1,Niski,9056.44143700283,1104715.4985987335
Poznań,Grunwald,63.77218660151303,5,1978,9,Do remontu,6.76411125294719,7.879929478822702,Wzrostowy,B,4,Wysoki,10368.868439895517,661245.4129955563
Gdańsk,Oliwa,110.90944215940463,4,2006,8,Do remontu,7.7587087444505345,7.85530090195717,Stabilny,D,5,Niski,12181.76368644383,1351072.6149811777
Gdańsk,Przymorze,123.90247417029644,1,1997,0,Do remontu,5.487225253858427,5.106861073952764,Spadkowy,A,6,Niski,9219.333348820874,1142298.212119631
Warszawa,Bielany,55.29411128932943,4,1990,8,Po remoncie,2.2978466047451764,2.792770806698221,Stabilny,A,9,Średni,17371.602782154983,960547.3375105024
Wrocław,Fabryczna,70.01414593560185,2,2020,1,Nowe,7.340241829131229,8.105409703423998,Wzrostowy,A,9,Niski,12561.21482211198,879462.7276837932
Kraków,Podgórze,108.79413304181632,3,2018,1,Nowe,7.187421300275388,6.4820330386539355,Stabilny,A,4,Wysoki,11257.19001192796,1224716.2278346964
Kraków,Podgórze,54.085871238571215,3,2014,14,Nowe,6.190255320778446,6.674981335094608,Stabilny,D,3,Średni,12586.022628624965,680725.9992975534
Wrocław,Stare Miasto,66.58317462612713,5,2008,2,Do remontu,4.094816608565482,6.683111009297205,Spadkowy,C,8,Wysoki,13026.960096747267,867376.3589693133
Wrocław,Krzyki,116.99577310849632,3,2022,13,Nowe,2.7723556803125815,2.5833393446414132,Wzrostowy,B,1,Średni,10638.234764783605,1244628.5008155403
Gdańsk,Śródmieście,91.3298964765948,5,1962,9,Nowe,4.030298386402507,2.4461006645422776,Spadkowy,C,7,Wysoki,9970.091868454676,910567.4582081052
Kraków,Podgórze,99.61675275509732,2,2022,8,Do remontu,4.065433330035534,2.386964474258558,Spadkowy,D,1,Wysoki,11670.93561945422,1162620.7080238296
Wrocław,Stare Miasto,138.45830048817191,4,1959,7,Do remontu,2.777204243065139,4.666524226747782,Stabilny,D,2,Niski,11967.332999368973,1656976.588468645
Wrocław,Krzyki,142.67931767765972,3,1959,4,Po remoncie,5.735215214216554,3.015363676495105,Spadkowy,B,6,Wysoki,10039.979490490185,1432497.4232008373
Gdańsk,Oliwa,134.847591015717,2,1957,9,Do remontu,4.558404888741511,2.262373332545808,Spadkowy,B,5,Niski,8464.851254831181,1141464.8000203539
Warszawa,Mokotów,122.3254869424531,5,1950,3,Do remontu,5.9185110118374995,4.0649238520205975,Wzrostowy,B,8,Wysoki,15305.334849517503,1872232.5382845257
Poznań,Wilda,95.87639417473265,3,1963,12,Nowe,5.548577293562699,2.1250000107787264,Spadkowy,C,7,Niski,10023.411522085398,961008.5540670166
Wrocław,Krzyki,84.26903989431804,4,1991,10,Po remoncie,4.3480671028850075,5.640807429500118,Spadkowy,C,5,Niski,9779.04889412594,824071.0613875855
Poznań,Grunwald,138.7261307774494,3,1991,2,Do remontu,3.1292834864540415,8.282499708309246,Stabilny,A,7,Średni,8636.220542520468,1198069.4604045895
Kraków,Podgórze,147.55606833599705,4,1972,1,Po remoncie,2.391374057606547,5.3912316379432905,Spadkowy,A,1,Średni,13773.720133235922,2032395.989220658
Poznań,Grunwald,145.4432061363114,5,1989,0,Nowe,2.3678383545008015,1.6834475254200987,Spadkowy,A,1,Wysoki,11107.01507215931,1615439.8826991844
Wrocław,Psie Pole,119.42545022589617,2,1966,4,Po remoncie,6.839233879601938,6.765110016295833,Wzrostowy,B,4,Niski,10126.867779653196,1209405.7439632043
Wrocław,Krzyki,120.52631392352944,3,1989,1,Do remontu,6.522856148316409,5.051638919072236,Stabilny,A,7,Średni,11513.593102065654,1387690.936607348
Wrocław,Stare Miasto,135.36485906590707,4,2017,4,Nowe,5.012730930321826,3.274605123025877,Spadkowy,A,9,Wysoki,12844.032777584665,1738630.6867756392
Gdańsk,Śródmieście,126.80646342226265,3,2006,14,Do remontu,4.285406001457378,3.8565301796451577,Spadkowy,D,3,Wysoki,9066.324984641908,1149668.6075393402
Kraków,Śródmieście,147.76445068459094,4,1951,13,Po remoncie,3.904550049310517,4.3580329891794,Spadkowy,D,7,Wysoki,13617.232223370276,2012142.83933082
Wrocław,Fabryczna,85.83610161710034,3,1959,14,Po remoncie,7.3046363280764455,7.7115986432418815,Wzrostowy,B,9,Średni,10257.99461881572,880506.2684883345
Poznań,Stare Miasto,135.66117670838776,1,1967,13,Nowe,2.832497660901952,9.641990655823813,Wzrostowy,B,2,Niski,9792.135420620849,1328412.6136493078
Gdańsk,Oliwa,32.87606724996291,1,1960,5,Do remontu,5.7154808931849646,8.102827116148742,Spadkowy,B,8,Średni,10115.91029305511,332571.3470890718
Gdańsk,Śródmieście,73.29640155940083,2,2000,12,Do remontu,7.497634113068488,3.2336938138089777,Wzrostowy,B,7,Wysoki,11269.702550148371,826028.6435706787
Wrocław,Stare Miasto,111.02873888032995,1,1992,3,Nowe,2.783763451543459,7.734487664415407,Wzrostowy,B,2,Wysoki,11491.152157265144,1275848.132303132
Poznań,Grunwald,66.95660432101701,2,2021,5,Po remoncie,2.0714101011157013,3.2261371515189006,Stabilny,D,6,Niski,10706.964107944012,716901.9592549381
Gdańsk,Oliwa,92.18821763371456,5,1998,9,Nowe,2.5536115173242013,4.469786260987748,Wzrostowy,B,2,Niski,10667.995213078584,983463.4644187136
Kraków,Śródmieście,65.10496567045561,5,2013,11,Nowe,5.422049454016715,4.508952026013008,Spadkowy,C,4,Średni,13166.833818680463,857226.2637537855
Wrocław,Stare Miasto,46.78139865308647,2,2019,2,Po remoncie,7.592361367031379,5.950878171359706,Wzrostowy,B,8,Niski,9521.068691664686,445408.9100681861
Gdańsk,Przymorze,105.75068661543253,4,1954,10,Nowe,5.531297875953634,6.005441808868909,Stabilny,C,1,Średni,9736.82709278101,1029676.1505173376
Wrocław,Stare Miasto,33.58034034566737,2,2013,4,Nowe,2.5357189400909985,2.305356811438548,Stabilny,C,5,Niski,11355.225316276379,381312.33082229923
Gdańsk,Oliwa,56.13379699519302,5,1953,8,Nowe,4.5779598891726705,3.7336190014410464,Stabilny,D,4,Wysoki,8789.054460333053,493362.99885603134
Kraków,Krowodrza,59.324490121144706,3,1986,6,Do remontu,3.9728274653637645,2.0373944436066154,Wzrostowy,A,9,Niski,11430.370728038686,678100.9153365527
Warszawa,Mokotów,81.32697233676612,3,2005,12,Nowe,2.2709004502127916,1.742648772802733,Wzrostowy,A,3,Wysoki,17934.23997426751,1458537.438268179
Warszawa,Śródmieście,79.55961256991063,4,1955,2,Nowe,2.633210506877125,4.461092678338279,Stabilny,A,1,Wysoki,15836.549928464527,1259949.7767526836
Warszawa,Mokotów,106.98721657717435,2,1974,0,Do remontu,3.585776965108016,7.132775093814923,Stabilny,A,7,Średni,12737.147477920322,1362711.9557956716
Warszawa,Mokotów,37.33128337031135,5,1985,11,Nowe,7.62152519774914,2.145002509208979,Spadkowy,C,8,Niski,16382.07114107772,611563.7399601721
Kraków,Podgórze,95.25858429077232,5,1980,7,Nowe,2.243433570574848,4.194786430664691,Wzrostowy,B,5,Wysoki,13300.269404569432,1266964.8341651573
Poznań,Wilda,52.86834800726865,5,1983,4,Do remontu,2.8561892970507117,9.210735149840293,Wzrostowy,B,2,Średni,11032.499990612541,583270.048893892
Gdańsk,Przymorze,63.44822493483479,4,1975,12,Do remontu,4.249892090277824,9.013990018092308,Stabilny,A,2,Niski,11642.801744411623,738715.1039511155
Warszawa,Ursynów,121.77621019990788,5,1998,14,Po remoncie,2.6916133157706312,6.8675224378995114,Spadkowy,D,5,Wysoki,12868.084311449333,1567026.5399811908
Kraków,Nowa Huta,125.8239438818478,2,2007,7,Nowe,6.0988844679634315,4.531594926515759,Wzrostowy,A,8,Wysoki,13335.803814252411,1677963.4307438273
Wrocław,Stare Miasto,138.09272263671863,3,1963,3,Nowe,6.41933785433561,8.666133472512088,Wzrostowy,C,3,Niski,10832.11909305449,1495836.817485078
Warszawa,Ursynów,103.65673996382755,3,1970,3,Nowe,2.064483339689602,8.786595873955958,Spadkowy,C,4,Niski,14683.218727959103,1522014.5855160595
Wrocław,Fabryczna,105.89204566781844,1,2018,4,Do remontu,5.884491188556651,2.3184679906018637,Wzrostowy,A,2,Wysoki,9543.311537373489,1010560.781137772
Warszawa,Śródmieście,63.889830656797095,4,1953,7,Po remoncie,2.1532376779977005,7.799381043877578,Spadkowy,B,1,Wysoki,16487.349285911023,1053373.9538563197
Kraków,Krowodrza,113.88168375414355,5,1955,1,Do remontu,5.633654198269682,5.361062495641074,Stabilny,B,6,Wysoki,12033.558617274302,1370401.9168893811
Warszawa,Bielany,74.39896830157454,2,1980,9,Do remontu,7.656376870611473,1.7742101355248838,Wzrostowy,B,4,Niski,12415.564532486065,923705.1920985839
Poznań,Stare Miasto,80.34880201443701,2,1999,9,Po remoncie,5.846916348101413,3.682743412677641,Wzrostowy,D,4,Wysoki,9389.898150318206,754467.0674156458
Kraków,Podgórze,126.37806371736723,4,1971,4,Nowe,2.419646108224905,9.534504393792291,Stabilny,B,4,Wysoki,13353.512217043155,1687591.0178161215
Gdańsk,Śródmieście,38.32139471636053,1,2012,7,Do remontu,6.826666148061055,9.173462178425325,Spadkowy,D,6,Wysoki,10781.262614389767,413153.02018677135
Gdańsk,Oliwa,75.00220144411377,4,2004,13,Do remontu,5.288862496192885,5.0278129249911006,Spadkowy,D,6,Wysoki,10272.497450580659,770459.9231225956
Kraków,Nowa Huta,79.9885870957702,5,2013,8,Nowe,7.799534556715691,9.578708114447512,Wzrostowy,B,7,Niski,11335.73601037851,906729.5071608201
Poznań,Wilda,68.9908505863197,3,2019,1,Po remoncie,2.950722675469774,4.257505195173005,Spadkowy,C,1,Wysoki,9501.83530244646,655539.6996469015
Warszawa,Bielany,82.49527993150735,3,2002,8,Nowe,6.878754887739618,1.839764370740661,Spadkowy,D,1,Średni,16710.847889944773,1378566.074573833
Gdańsk,Wrzeszcz,104.79335870962706,4,2023,12,Nowe,2.159496600835074,4.91824872757692,Wzrostowy,B,1,Średni,8422.6922374158,882642.2089363053
Wrocław,Stare Miasto,66.05848641208239,1,2000,9,Po remoncie,2.9610963279450893,6.902929636799925,Spadkowy,B,7,Średni,9159.805897483859,605082.9134162496
Gdańsk,Śródmieście,109.22912524433283,5,1959,13,Po remoncie,4.365825655480535,3.6296496005053065,Stabilny,D,2,Średni,9278.105377336227,1013439.3342911768
Kraków,Nowa Huta,109.96119651867279,5,2006,6,Do remontu,2.7157073336139312,2.2040949737390787,Spadkowy,A,4,Wysoki,11273.560593667238,1239654.2119054087
Warszawa,Mokotów,124.06734417113223,3,1969,5,Nowe,4.689502111544405,1.809764120367179,Stabilny,C,8,Średni,16455.818761953506,2041629.7299570607
Poznań,Grunwald,67.15811199833772,3,2020,7,Po remoncie,6.181366656441931,3.459378136940782,Wzrostowy,C,1,Wysoki,10145.47199217263,681350.7443263279
Warszawa,Ursynów,80.98151815505679,5,1977,12,Nowe,6.7554570214486915,2.552887410161129,Spadkowy,D,2,Średni,12817.05168745299,1037944.3039217755
Wrocław,Stare Miasto,86.73574703828177,3,2013,5,Nowe,6.175945738244004,4.4367111013934615,Wzrostowy,C,5,Niski,10211.847861337801,885732.2528944142
Gdańsk,Śródmieście,112.9189162431522,1,1953,4,Nowe,6.837553469318626,2.9750701766797145,Stabilny,D,2,Wysoki,10781.914408129272,1217482.0899923851
Warszawa,Bielany,60.479664556073914,2,1977,2,Po remoncie,5.158112829236672,2.2032545258206935,Wzrostowy,D,5,Wysoki,16528.770647371828,999654.5042773288
Kraków,Krowodrza,131.0979476457353,4,1957,12,Do remontu,7.841407812903278,9.3038645370472,Spadkowy,C,8,Wysoki,10222.822970818168,1340191.1106199403
Poznań,Wilda,95.75846100780888,3,1996,3,Do remontu,4.031594926764347,4.865992644397335,Stabilny,B,8,Średni,11115.555879108842,1064408.5242297647
Gdańsk,Oliwa,149.31840255012304,3,1980,14,Do remontu,6.938061550852646,9.731579645361716,Wzrostowy,A,5,Wysoki,8671.47553812997,1294810.8751060355
Wrocław,Stare Miasto,103.0869465539512,5,1993,13,Do remontu,7.699304103607058,5.428489198057344,Stabilny,B,9,Średni,12502.072691340045,1288800.499345784
Kraków,Podgórze,43.43696614909206,2,2012,12,Do remontu,5.494414923725925,4.791986942376079,Wzrostowy,A,2,Wysoki,14172.344223029415,615603.6362690091
Warszawa,Bielany,78.53076750106023,2,1955,0,Nowe,5.281111570235319,8.421434228696349,Wzrostowy,A,6,Średni,13642.555720698232,1071360.3714224119
Wrocław,Psie Pole,67.23339945585784,2,2014,8,Nowe,5.538664560075004,4.564148278184814,Wzrostowy,D,9,Wysoki,12917.041534817115,868456.6132982661
Warszawa,Ursynów,65.85260408287398,5,1953,2,Do remontu,6.164472903721237,1.5035892760546548,Stabilny,D,2,Średni,14568.836126832313,959395.7974085596
Poznań,Jeżyce,45.20273461901,1,1983,14,Nowe,2.2908854864629875,1.7180047464893444,Stabilny,D,5,Średni,10587.796336201955,478597.34798546333
Wrocław,Psie Pole,48.51974651511011,4,2021,12,Po remoncie,4.23064531315349,7.861730800899487,Wzrostowy,A,1,Niski,10465.43588834185,507780.29647248273
Wrocław,Psie Pole,43.591351840401856,4,2019,10,Nowe,6.507027529859936,8.136148846773956,Spadkowy,D,3,Niski,12337.148778116929,537792.9930942788
Poznań,Grunwald,103.18389058495893,3,1958,12,Nowe,6.3060718882592735,1.7723095169706664,Wzrostowy,B,4,Wysoki,9785.907972960964,1009748.0575564813
Wrocław,Psie Pole,83.1385268921197,3,1990,11,Po remoncie,5.473100024103582,5.4292962772883975,Wzrostowy,B,3,Średni,12697.591744621315,1055659.0727253563
Gdańsk,Oliwa,32.62089949821346,5,2018,12,Po remoncie,3.7200807885620852,9.076576824356806,Wzrostowy,A,9,Niski,11239.943380847624,366657.06339224
Kraków,Krowodrza,65.79049544005571,3,1991,7,Po remoncie,2.7506215670985283,1.95078207820412,Wzrostowy,B,7,Wysoki,14380.733522604756,946115.5832435845
Gdańsk,Oliwa,38.128538841712036,3,2008,2,Po remoncie,2.0731387272198756,8.980315578618828,Wzrostowy,B,3,Niski,10291.78083449646,392410.56529848574
Gdańsk,Śródmieście,50.803527174817674,5,2007,8,Do remontu,2.22780873893558,2.891337368363953,Stabilny,D,3,Wysoki,10830.925062509124,550249.1957415962
Kraków,Nowa Huta,120.28182534748599,4,1999,6,Do remontu,5.164469999263825,9.651315594654175,Stabilny,B,1,Niski,13419.957269660437,1614176.9564800216
Kraków,Nowa Huta,112.71533000432211,3,1978,8,Po remoncie,6.376695852899015,4.533276686595869,Wzrostowy,A,5,Niski,11631.010891894963,1310993.2309638057
Gdańsk,Przymorze,124.17031866907787,1,1950,6,Nowe,3.828370362114545,8.675556270245398,Wzrostowy,C,6,Niski,10423.78376800699,1294324.5522109892
Poznań,Jeżyce,91.5941469041295,4,1966,10,Do remontu,3.019161815105929,3.079026063104073,Spadkowy,B,2,Niski,7775.256602784454,712167.9954927422
Wrocław,Psie Pole,74.58623974534758,4,2010,6,Nowe,2.045668767398693,5.691828623376224,Stabilny,B,4,Wysoki,10315.36565870672,769384.3360812247
Warszawa,Ursynów,81.08936273789601,4,2007,10,Nowe,3.354173959950421,3.8081725498175394,Stabilny,B,9,Średni,17969.825677990106,1457161.712739298
Poznań,Grunwald,137.52495874769699,4,1950,0,Po remoncie,2.561736309027422,6.915139835979438,Spadkowy,A,3,Niski,10141.463657187775,1394704.3710960168
Kraków,Krowodrza,48.463201425877585,4,2016,9,Nowe,2.8959949687397772,4.136098126237075,Wzrostowy,A,5,Niski,11288.264342341845,547065.4285714644
Poznań,Grunwald,134.50887691322873,1,2015,7,Do remontu,5.010626784104779,9.704243116107204,Stabilny,B,2,Wysoki,10328.16199073464,1389229.469951613
Kraków,Podgórze,60.84633460048023,1,1996,1,Do remontu,2.8234139005562606,7.277697599419211,Stabilny,B,8,Wysoki,11775.02268713314,716466.9703495489
